                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.72265,                0.37472,                 0.9694,                0.99458,                0.94667,                0.97927,                0.70108,                 1.1257,                0.51978,                 1.1745,              0.0003566,              0.0003566,              0.0003566
                     85,                0.72579,                0.38055,                0.98828,                 0.9974,                0.94667,                0.96948,                0.69836,                 1.1346,                0.53215,                 1.1777,              0.0003368,              0.0003368,              0.0003368
                     86,                0.70775,                0.38162,                0.96809,                0.99769,                0.94667,                0.97012,                0.70319,                 1.1007,                0.54556,                 1.1605,               0.000317,               0.000317,               0.000317
                     87,                0.70848,                0.36674,                 0.9602,                0.98552,                0.94667,                0.96935,                0.69927,                 1.1374,                0.55916,                 1.1927,              0.0002972,              0.0002972,              0.0002972
                     88,                0.69217,                0.36545,                0.96042,                0.98382,                0.94667,                0.97025,                0.68866,                 1.1337,                0.52684,                 1.1843,              0.0002774,              0.0002774,              0.0002774
                     89,                0.70594,                0.36817,                0.96895,                0.99539,                0.94667,                0.97039,                0.69477,                 1.1495,                0.50784,                 1.1997,              0.0002576,              0.0002576,              0.0002576
                     90,                0.71701,                0.36759,                 0.9719,                 0.9963,                0.94667,                 0.9726,                0.70785,                 1.1308,                0.54499,                 1.1824,              0.0002378,              0.0002378,              0.0002378
                     91,                0.62544,                0.30652,                0.94716,                0.99665,                0.94667,                0.96935,                0.69423,                 1.1692,                0.52326,                 1.2097,               0.000218,               0.000218,               0.000218
                     92,                0.62397,                0.30343,                0.94155,                0.99778,                0.94667,                0.96999,                0.69141,                  1.135,                0.48506,                 1.1922,              0.0001982,              0.0001982,              0.0001982
                     93,                0.60021,                0.29496,                0.93406,                0.99743,                0.94667,                0.97082,                0.69625,                 1.1246,                0.47929,                 1.1856,              0.0001784,              0.0001784,              0.0001784
                     94,                0.61074,                0.28924,                0.94152,                 0.9966,                0.94667,                0.97099,                0.68835,                 1.1243,                0.53197,                 1.1853,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.5931,                0.29009,                 0.9255,                0.99548,                0.94667,                0.97162,                0.69777,                 1.1159,                0.53196,                 1.1791,              0.0001388,              0.0001388,              0.0001388
                     96,                0.59218,                0.28739,                0.92265,                0.99595,                0.94667,                0.97127,                0.68914,                 1.1265,                0.57785,                 1.2014,               0.000119,               0.000119,               0.000119
                     97,                0.58811,                0.29274,                0.92427,                0.99589,                0.94667,                0.97142,                0.68906,                 1.1316,                0.57169,                 1.2096,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.56767,                0.28211,                0.92183,                0.99545,                0.94667,                0.97111,                0.69014,                 1.1331,                0.55519,                 1.2051,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.57087,                0.27775,                0.92334,                0.99597,                0.94667,                0.97208,                0.70192,                 1.1292,                0.55539,                 1.1994,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.56943,                0.27696,                0.91643,                0.99629,                0.94667,                0.97191,                  0.698,                 1.1341,                 0.5534,                 1.2037,               3.98e-05,               3.98e-05,               3.98e-05
